t;u;w;q [graus/s];theta [graus]
56.9;47.247;2.5682;-1.25445;4.50436
57;47.2501;2.56815;-1.2546;4.37891
57.1;47.2552;2.568;-1.25441;4.25345
57.2;47.2626;2.56776;-1.25387;4.12803
57.3;47.272;2.56742;-1.25298;4.00269
57.4;47.2836;2.567;-1.25175;3.87745
57.5;47.2972;2.56648;-1.25017;3.75235
57.6;47.313;2.56588;-1.24825;3.62742
57.7;47.3309;2.56518;-1.24599;3.50271
57.8;47.3508;2.5644;-1.24339;3.37823
57.9;47.3728;2.56352;-1.24045;3.25404
58;47.3968;2.56256;-1.23717;3.13015
58.1;47.4229;2.56151;-1.23355;3.00661
58.2;47.4511;2.56037;-1.2296;2.88345
58.3;47.4812;2.55914;-1.22533;2.7607
58.4;47.5134;2.55783;-1.22072;2.63839
58.5;47.5475;2.55643;-1.21578;2.51656
58.6;47.5837;2.55494;-1.21052;2.39524
58.7;47.6218;2.55337;-1.20493;2.27446
58.8;47.6618;2.55172;-1.19902;2.15426
58.9;47.7038;2.54998;-1.19279;2.03467
59;47.7477;2.54816;-1.18625;1.91571
59.1;47.7935;2.54625;-1.17939;1.79742
59.2;47.8412;2.54427;-1.17223;1.67983
59.3;47.8907;2.5422;-1.16475;1.56298
59.4;47.9421;2.54006;-1.15697;1.44688
59.5;47.9954;2.53783;-1.14888;1.33158
59.6;48.0504;2.53553;-1.1405;1.21711
59.7;48.1072;2.53314;-1.13182;1.10349
59.8;48.1658;2.53068;-1.12284;0.990746
59.9;48.2262;2.52815;-1.11358;0.878918
